category,risk,record,tweakdb_id,entity_template,default_appearance,crowd_appearances,all_appearances,multiplayer_templates,character_type,affiliation,reaction_preset,archetype_data,archetype_name,genders,tags,visual_tags,is_crowd,is_light_crowd,is_child,is_bumpable,can_have_generic_talk,force_generic_talk,default_equipment,primary_equipment,secondary_equipment,quest,vendor,driving,state_machine,voice_tag,source
"animal","special_rig","Character.Iguana_Puppet_Photomode","0x00000021CE8DA488","base\characters\entities\player\photo_mode\iguana\iguana_photomode.ent","TPP_Body","","TPP_Body","","NPCType.Human","Factions.Unaffiliated","","","None","Character.TPP_Player_inline0;Character.TPP_Player_inline1","Player;TPP_Player","",false,false,false,true,true,false,"","","","","","","None","v","tweakdb_ep1.bin"
"child","restricted_child","Character.mq001_aldecaldo_child","0x0000001F4C9191C9","base\characters\entities\citizen\citizen__children_mc.ent","None","","None","","NPCType.Human","Factions.Aldecaldos","ReactionPresets.Child","","humanoid","","","",true,false,true,false,true,false,"","","","NPCQuestAffiliation.MinorQuest","","","None","None","tweakdb_ep1.bin"
"child","restricted_child","Character.mq012_ripperdoc_kid","0x0000001D0346F574","base\characters\entities\citizen\citizen__children_mc.ent","None","","None","","NPCType.Human","Factions.Unaffiliated","ReactionPresets.Civilian_Passive","","humanoid","","","",true,false,true,true,true,false,"","Character.Crowd_NPC_Base_inline1","Character.Crowd_NPC_Base_inline3","","","","None","None","tweakdb_ep1.bin"
"child","restricted_child","Character.mws_hey_01_girl","0x000000194DBEA12E","base\open_world\mini_world_stories\heywood\mws_hey_01\characters\mws_hey_girl_01.ent","None","","None","","NPCType.Human","Factions.Civilian","ReactionPresets.Child","","humanoid","","Invulnerable","",false,false,true,false,true,false,"","","","","","","None","None","tweakdb_ep1.bin"
"child","restricted_child","Character.q114_nomad_child","0x0000001A78661492","base\quest\main_quests\part1\q114\characters\q114_aldecaldo_child.ent","None","","None","","NPCType.Human","Factions.Aldecaldos","ReactionPresets.Child","","humanoid","","","",true,false,true,false,true,false,"","","","NPCQuestAffiliation.MinorQuest","","","None","None","tweakdb_ep1.bin"
"child","restricted_child","Character.q000_roadhouse_town_jaime","0x00000023A44081BF","base\quest\main_quests\prologue\q000\characters\q000_nomad_child.ent","None","","None","","NPCType.Human","Factions.Civilian","ReactionPresets.NoReaction","","humanoid","","","",true,false,true,false,true,false,"","","","NPCQuestAffiliation.MainQuest","","","None","None","tweakdb_ep1.bin"
"child","restricted_child","Character.q000_roadhouse_town_kids","0x000000226721D7D6","base\quest\main_quests\prologue\q000\characters\q000_nomad_kids.ent","None","","None","","NPCType.Human","Factions.Civilian","ReactionPresets.Civilian_Neutral","","humanoid","","","",true,false,true,false,true,false,"","","","NPCQuestAffiliation.MainQuest","","","None","None","tweakdb_ep1.bin"
"child","restricted_child","Character.mq025_kid","0x00000013329CA342","base\quest\minor_quests\mq025\characters\mq025_kid.ent","None","","None","","NPCType.Human","Factions.Civilian","ReactionPresets.NoReaction","","humanoid","","Invulnerable","",false,false,true,false,true,false,"","Character.Quest_Combat_NPC_Base_inline0","","NPCQuestAffiliation.MinorQuest","","","None","None","tweakdb_ep1.bin"
"child","restricted_child","Character.sq021_joss_kid_boy","0x0000001C57648FA9","base\quest\side_quests\sq021\characters\sq021_joss_kid_boy.ent","None","","None","","NPCType.Human","Factions.Civilian","ReactionPresets.NoReaction","","humanoid","","Immortal","",false,false,true,false,false,false,"","","","NPCQuestAffiliation.SideQuest","","","None","None","tweakdb_ep1.bin"
"child","restricted_child","Character.sq021_joss_kid_girl","0x0000001DE9FCE876","base\quest\side_quests\sq021\characters\sq021_joss_kid_girl.ent","None","","None","","NPCType.Human","Factions.Civilian","ReactionPresets.NoReaction","","humanoid","","Immortal","",false,false,true,false,false,false,"","","","NPCQuestAffiliation.SideQuest","","","None","None","tweakdb_ep1.bin"
"child","restricted_child","Character.ChildAverage","0x00000016D4305C69","ep1\characters\entities\citizen\citizen__ep1_children_mc.ent","None","","None","","NPCType.Human","Factions.Civilian","ReactionPresets.Child","","humanoid","","","Tennant",true,false,true,true,true,false,"","Character.Crowd_NPC_Base_inline1","Character.Crowd_NPC_Base_inline3","","","","None","None","tweakdb_ep1.bin"
"child","restricted_child","Character.ChildPoor","0x00000013630559B6","ep1\characters\entities\citizen\citizen__ep1_children_mc.ent","None","","None","","NPCType.Human","Factions.Civilian","ReactionPresets.Child","","humanoid","","","Lowlife",true,false,true,true,true,false,"","Character.Crowd_NPC_Base_inline1","Character.Crowd_NPC_Base_inline3","","","","None","None","tweakdb_ep1.bin"
"child","restricted_child","Character.ChildPoorDE","0x000000157352AE8A","ep1\characters\entities\citizen\citizen__ep1_children_mc.ent","None","","None","","NPCType.Human","Factions.Civilian","ReactionPresets.Child","","humanoid","","","Lowlife",true,false,true,true,false,false,"","Character.Crowd_NPC_Base_inline1","Character.Crowd_NPC_Base_inline3","","","","None","None","tweakdb_ep1.bin"
"child","restricted_child","Character.ChildRich","0x000000139C565BF9","ep1\characters\entities\citizen\citizen__ep1_children_mc.ent","None","","None","","NPCType.Human","Factions.Civilian","ReactionPresets.Child","","humanoid","","","Posh",true,false,true,true,true,false,"","Character.Crowd_NPC_Base_inline1","Character.Crowd_NPC_Base_inline3","","","","None","None","tweakdb_ep1.bin"
"child","restricted_child","Character.CreoleChild","0x00000015D49C9BFC","ep1\characters\entities\citizen\citizen__ep1_children_mc.ent","None","","None","","NPCType.Human","Factions.Civilian","ReactionPresets.Child","","humanoid","","","",true,false,true,true,true,false,"","Character.Crowd_NPC_Base_inline1","Character.Crowd_NPC_Base_inline3","","","","None","None","tweakdb_ep1.bin"
"child","restricted_child","Character.CreoleChildDE","0x000000170CAE1D00","ep1\characters\entities\citizen\citizen__ep1_children_mc.ent","None","","None","","NPCType.Human","Factions.Civilian","ReactionPresets.Child","","humanoid","","","",true,false,true,true,false,false,"","Character.Crowd_NPC_Base_inline1","Character.Crowd_NPC_Base_inline3","","","","None","None","tweakdb_ep1.bin"
